Ruta;Nombre;Extension;LoTengo;Editorial;EstadoARG;EstadoJPN;UltimoTomoARG;UltimoTomoJPN;Siguiendo
Mangas/DGrayMan/;D.Gray-Man17;.jpg;No;Ivrea;En curso;En curso;28;28;No
Mangas/DGrayMan/;D.Gray-Man18;.jpg;No;Ivrea;En curso;En curso;28;28;No
Mangas/DGrayMan/;D.Gray-Man19;.jpg;No;Ivrea;En curso;En curso;28;28;No
Mangas/DGrayMan/;D.Gray-Man20;.jpg;No;Ivrea;En curso;En curso;28;28;No
Mangas/DGrayMan/;D.Gray-Man21;.jpg;No;Ivrea;En curso;En curso;28;28;No
Mangas/DGrayMan/;D.Gray-Man22;.jpg;No;Ivrea;En curso;En curso;28;28;No
Mangas/DGrayMan/;D.Gray-Man23;.jpg;No;Ivrea;En curso;En curso;28;28;No
Mangas/DGrayMan/;D.Gray-Man24;.jpg;No;Ivrea;En curso;En curso;28;28;No
Mangas/DGrayMan/;D.Gray-Man25;.jpg;No;Ivrea;En curso;En curso;28;28;No
Mangas/DGrayMan/;D.Gray-Man26;.jpg;No;Ivrea;En curso;En curso;28;28;No
Mangas/DGrayMan/;D.Gray-Man27;.jpg;No;Ivrea;En curso;En curso;28;28;No
Mangas/DGrayMan/;D.Gray-Man28;.jpg;No;Ivrea;En curso;En curso;28;28;No
Mangas/DNAngel/;D.N.Angel01;.jpg;Si;Ivrea;Descatalogada;Terminada;15;20;No
Mangas/DNAngel/;D.N.Angel02;.jpg;Si;Ivrea;Descatalogada;Terminada;15;20;No
Mangas/DNAngel/;D.N.Angel03;.jpg;Si;Ivrea;Descatalogada;Terminada;15;20;No
Mangas/DNAngel/;D.N.Angel04;.jpg;Si;Ivrea;Descatalogada;Terminada;15;20;No
Mangas/DNAngel/;D.N.Angel05;.jpg;Si;Ivrea;Descatalogada;Terminada;15;20;No
Mangas/DNAngel/;D.N.Angel06;.jpg;Si;Ivrea;Descatalogada;Terminada;15;20;No
Mangas/DNAngel/;D.N.Angel07;.jpg;Si;Ivrea;Descatalogada;Terminada;15;20;No
Mangas/DNAngel/;D.N.Angel08;.jpg;Si;Ivrea;Descatalogada;Terminada;15;20;No
Mangas/DNAngel/;D.N.Angel09;.jpg;Si;Ivrea;Descatalogada;Terminada;15;20;No
Mangas/DNAngel/;D.N.Angel10;.jpg;Si;Ivrea;Descatalogada;Terminada;15;20;No
Mangas/DNAngel/;D.N.Angel11;.jpg;Si;Ivrea;Descatalogada;Terminada;15;20;No
Mangas/DNAngel/;D.N.Angel12;.jpg;Si;Ivrea;Descatalogada;Terminada;15;20;No
Mangas/DNAngel/;D.N.Angel13;.jpg;Si;Ivrea;Descatalogada;Terminada;15;20;No
Mangas/DNAngel/;D.N.Angel14;.jpg;Si;Ivrea;Descatalogada;Terminada;15;20;No
